conversation_id,agent_name,agent_domain,department_industry,query_type,conversation_date,resolution_time_sec,resolution_status,escalated,customer_satisfaction,tokens_used,cost_per_conversation_usd,response_consistency_score,repetitive_response_flag
CONV002555,SupportBot-v4,Customer Support,Healthcare,Delivery Delay,2025-01-23 06:29:00,69.2,Resolved,No,4.8,286,0.0238,81.9,No
CONV001474,SupportBot-v3,Customer Support,Banking,Refund Request,2025-01-23 07:02:00,94.7,Resolved,No,3.6,542,0.0443,89.2,No
CONV008705,SupportBot-v4,Customer Support,Manufacturing,Delivery Delay,2025-01-23 13:36:00,28.1,Resolved,No,4.3,198,0.0245,80.0,No
CONV004919,IT-Legacy-Bot,IT Helpdesk,E-commerce,Software Bug,2025-01-23 14:25:00,81.3,Resolved,No,3.9,660,0.0502,76.5,No
CONV009740,SchedulerBot,Appointment Scheduling,EdTech,Book Appointment,2025-01-23 15:14:00,67.5,Resolved,No,3.5,242,0.0198,96.0,No
CONV009625,KnowledgeFinder-X,Internal Knowledge Search,Telecom,Policy Lookup,2025-01-23 21:42:00,115.3,Escalated,Yes,2.7,247,0.023,95.5,No
CONV007703,SchedulerBot,Appointment Scheduling,Retail,Reschedule,2025-01-23 22:01:00,79.7,Resolved,No,4.1,292,0.0265,90.4,No
CONV003038,SalesAssist-Pro,Sales Assistance,EdTech,Product Recommendation,2025-01-23 22:03:00,40.8,Resolved,No,4.4,642,0.047,94.5,No
CONV000006,HRQueryBot,HR Queries,Manufacturing,Benefits Query,2025-01-23 23:29:00,91.1,Resolved,No,4.1,571,0.0298,84.8,No
CONV005684,SalesAssist-Pro,Sales Assistance,EdTech,Product Recommendation,2025-01-24 00:18:00,68.3,Resolved,No,4.4,467,0.0314,83.6,No
CONV009742,SchedulerBot,Appointment Scheduling,EdTech,Availability Check,2025-01-24 01:11:00,15.0,Pending,No,4.9,187,0.0258,89.1,No
CONV009906,KnowledgeFinder-X,Internal Knowledge Search,Banking,Compliance Query,2025-01-24 01:27:00,42.0,Resolved,No,5.0,189,0.0255,85.9,No
CONV006799,HR-FAQ-Agent,HR Queries,Telecom,Benefits Query,2025-01-24 01:30:00,27.4,Resolved,No,3.5,743,0.0353,88.3,No
CONV000112,IT-Legacy-Bot,IT Helpdesk,E-commerce,Network Issue,2025-01-24 01:35:00,158.8,Escalated,Yes,2.1,539,0.049,75.4,No
CONV009576,SupportBot-v3,Customer Support,Telecom,Delivery Delay,2025-01-24 02:11:00,46.2,Resolved,No,3.5,617,0.0441,81.6,No
CONV001827,SupportBot-v4,Customer Support,Banking,Product Complaint,2025-01-24 02:47:00,159.6,Pending,No,4.8,446,0.0325,97.4,No
CONV005302,OmniAssist-2,Customer Support,EdTech,Delivery Delay,2025-01-24 03:25:00,118.9,Resolved,No,3.9,690,0.0401,90.8,No
CONV000904,HRQueryBot,HR Queries,Banking,Leave Balance,2025-01-24 03:33:00,39.9,Resolved,No,3.6,466,0.0263,85.2,No
CONV006924,ITHelpDesk-AI,IT Helpdesk,Telecom,Network Issue,2025-01-24 04:12:00,139.9,Pending,No,4.0,475,0.0441,85.0,No
CONV004311,SalesAssist-Pro,Sales Assistance,Logistics,Lead Qualification,2025-01-24 05:46:00,30.2,Resolved,No,4.1,242,0.0321,85.7,Yes
CONV004784,SupportBot-v3,Customer Support,E-commerce,Refund Request,2025-01-24 07:16:00,57.5,Resolved,No,3.7,350,0.031,82.3,Yes
CONV003618,IT-Legacy-Bot,IT Helpdesk,E-commerce,Software Bug,2025-01-24 08:56:00,15.0,Resolved,No,2.9,293,0.0363,81.6,No
CONV007928,SalesAssist-Pro,Sales Assistance,Healthcare,Pricing Question,2025-01-24 09:13:00,184.5,Resolved,No,3.9,647,0.0342,94.1,No
CONV006820,SalesAssist-Pro,Sales Assistance,EdTech,Product Recommendation,2025-01-24 10:22:00,49.3,Resolved,No,4.2,709,0.0482,100.0,No
CONV009601,SupportBot-v4,Customer Support,E-commerce,Refund Request,2025-01-24 10:38:00,128.9,Resolved,No,5.0,701,0.046,96.6,No
CONV005935,SalesAssist-Lite,Sales Assistance,EdTech,Upsell Opportunity,2025-01-24 11:06:00,25.9,Resolved,No,3.6,465,0.0293,86.6,No
CONV006877,IT-Legacy-Bot,IT Helpdesk,Banking,Access Request,2025-01-24 11:37:00,40.4,Resolved,No,3.3,2178,0.1105,75.5,No
CONV009549,SupportBot-v3,Customer Support,Manufacturing,Refund Request,2025-01-24 12:17:00,26.9,Resolved,No,3.7,341,0.0313,89.4,No
CONV002944,KnowledgeFinder-Lite,Internal Knowledge Search,Retail,Process Question,2025-01-24 13:27:00,155.5,Resolved,No,3.7,610,0.0351,86.8,No
CONV008996,SupportBot-v4,Customer Support,Healthcare,Product Complaint,2025-01-24 15:51:00,57.4,Resolved,No,4.8,392,0.0322,82.6,No
CONV001975,IT-Legacy-Bot,IT Helpdesk,E-commerce,Network Issue,2025-01-24 19:25:00,32.7,Resolved,No,2.9,618,0.047,64.1,No
CONV009091,OmniAssist-2,Customer Support,E-commerce,Product Complaint,2025-01-24 19:56:00,44.1,Resolved,No,5.0,177,0.0152,92.7,Yes
CONV004477,SchedulerBot,Appointment Scheduling,Healthcare,Reschedule,2025-01-24 20:42:00,41.7,Resolved,No,4.7,236,0.018,90.4,No
CONV005004,SupportBot-v4,Customer Support,EdTech,Product Complaint,2025-01-24 21:22:00,71.3,Resolved,No,5.0,805,0.0367,92.9,No
CONV002048,OmniAssist-2,Customer Support,Logistics,Delivery Delay,2025-01-24 21:24:00,16.1,Pending,No,4.6,355,0.0334,88.5,No
CONV003482,SupportBot-v4,Customer Support,EdTech,General Inquiry,2025-01-24 23:06:00,56.8,Escalated,Yes,3.2,651,0.03,87.0,No
CONV006836,SupportBot-v4,Customer Support,Logistics,Refund Request,2025-01-24 23:44:00,103.8,Resolved,No,4.3,192,0.0268,87.3,No
CONV004647,KnowledgeFinder-X,Internal Knowledge Search,Manufacturing,Document Search,2025-01-25 01:50:00,51.1,Resolved,No,5.0,1094,0.0519,98.1,No
CONV004016,SalesAssist-Lite,Sales Assistance,Manufacturing,Product Recommendation,2025-01-25 02:45:00,139.7,Resolved,No,3.4,418,0.0323,82.1,No
CONV000016,HRQueryBot,HR Queries,Logistics,Payroll Question,2025-01-25 03:09:00,20.8,Resolved,No,4.0,902,0.0426,93.2,No
CONV004078,SalesAssist-Pro,Sales Assistance,Banking,Upsell Opportunity,2025-01-25 03:36:00,198.2,Resolved,No,4.5,436,0.0249,87.8,No
CONV002676,HR-FAQ-Agent,HR Queries,Logistics,Policy Clarification,2025-01-25 05:36:00,132.9,Resolved,No,3.9,410,0.0365,94.3,No
CONV009505,SalesAssist-Pro,Sales Assistance,Healthcare,Discount Inquiry,2025-01-25 06:14:00,114.9,Pending,No,4.7,221,0.0164,96.5,No
CONV004135,SupportBot-v4,Customer Support,Retail,Product Complaint,2025-01-25 06:33:00,19.2,Resolved,No,4.3,319,0.0355,87.7,No
CONV005283,SalesAssist-Lite,Sales Assistance,EdTech,Lead Qualification,2025-01-25 09:22:00,42.7,Resolved,No,3.2,256,0.0247,80.2,No
CONV001113,SchedulerBot,Appointment Scheduling,Telecom,Book Appointment,2025-01-25 09:36:00,227.5,Resolved,No,4.6,246,0.0252,95.4,No
CONV009156,KnowledgeFinder-Lite,Internal Knowledge Search,E-commerce,Policy Lookup,2025-01-25 10:11:00,22.0,Resolved,No,3.6,564,0.0286,75.8,No
CONV006370,SupportBot-v4,Customer Support,Banking,Order Issue,2025-01-25 10:24:00,73.6,Resolved,No,4.4,536,0.0422,97.7,No
CONV009866,SupportBot-v3,Customer Support,Healthcare,Product Complaint,2025-01-25 10:54:00,43.9,Resolved,No,3.2,502,0.0299,81.3,No
CONV006899,HRQueryBot,HR Queries,Retail,Payroll Question,2025-01-25 10:58:00,114.1,Resolved,No,4.7,360,0.0274,95.4,No
CONV009469,SalesAssist-Lite,Sales Assistance,Healthcare,Discount Inquiry,2025-01-25 11:40:00,149.2,Resolved,No,3.4,553,0.0286,84.8,No
CONV000356,OmniAssist-2,Customer Support,EdTech,Refund Request,2025-01-25 11:41:00,29.8,Resolved,No,4.4,205,0.0167,84.0,No
CONV009800,OmniAssist-2,Customer Support,Manufacturing,Delivery Delay,2025-01-25 11:43:00,120.6,Resolved,No,4.3,369,0.0383,91.3,No
CONV004055,HR-FAQ-Agent,HR Queries,Retail,Policy Clarification,2025-01-25 12:21:00,112.3,Resolved,No,4.2,675,0.034,95.0,No
CONV005936,OmniAssist-2,Customer Support,EdTech,Product Complaint,2025-01-25 12:55:00,80.7,Resolved,No,4.3,713,0.0311,88.5,No
CONV002184,OmniAssist-2,Customer Support,Healthcare,Delivery Delay,2025-01-25 17:01:00,176.0,Resolved,No,3.4,423,0.0386,95.2,No
CONV008741,SchedulerBot,Appointment Scheduling,Banking,Book Appointment,2025-01-25 17:07:00,37.5,Resolved,No,4.2,80,0.0217,95.5,No
CONV007204,KnowledgeFinder-X,Internal Knowledge Search,EdTech,Process Question,2025-01-25 17:16:00,62.0,Resolved,No,4.7,763,0.0452,90.8,No
CONV005941,SupportBot-v4,Customer Support,E-commerce,Product Complaint,2025-01-25 17:34:00,62.8,Escalated,Yes,3.8,387,0.0265,93.8,No
CONV003160,SupportBot-v4,Customer Support,Healthcare,Delivery Delay,2025-01-25 18:21:00,30.0,Resolved,No,4.2,924,0.0358,82.8,No
CONV008922,OmniAssist-2,Customer Support,Manufacturing,Product Complaint,2025-01-25 20:01:00,118.3,Resolved,No,3.9,913,0.0556,95.8,No
CONV006025,KnowledgeFinder-Lite,Internal Knowledge Search,Healthcare,Compliance Query,2025-01-25 20:04:00,168.0,Resolved,No,3.8,1068,0.0599,78.8,No
CONV000259,SalesAssist-Lite,Sales Assistance,Manufacturing,Discount Inquiry,2025-01-25 20:21:00,144.0,Resolved,No,3.7,563,0.044,68.1,No
CONV004526,KnowledgeFinder-X,Internal Knowledge Search,Healthcare,Compliance Query,2025-01-25 20:21:00,51.0,Resolved,No,4.2,273,0.0242,84.7,No
CONV008569,SupportBot-v4,Customer Support,Banking,General Inquiry,2025-01-25 20:42:00,25.7,Resolved,No,4.6,293,0.0224,83.4,No
CONV007686,SchedulerBot,Appointment Scheduling,Retail,Book Appointment,2025-01-25 21:38:00,102.0,Resolved,No,5.0,261,0.017,91.8,No
CONV003430,SchedulerBot,Appointment Scheduling,EdTech,Cancellation,2025-01-26 00:58:00,89.1,Resolved,No,4.7,639,0.0295,90.7,No
CONV002966,SupportBot-v4,Customer Support,Retail,Delivery Delay,2025-01-26 02:40:00,87.4,Pending,No,4.8,1273,0.0426,90.7,No
CONV006709,SupportBot-v4,Customer Support,Telecom,Order Issue,2025-01-26 03:01:00,15.6,Resolved,No,4.5,336,0.0327,84.1,No
CONV007973,HRQueryBot,HR Queries,Telecom,Benefits Query,2025-01-26 03:25:00,205.9,Resolved,No,4.1,801,0.0443,90.3,No
CONV000877,KnowledgeFinder-Lite,Internal Knowledge Search,Manufacturing,Process Question,2025-01-26 03:26:00,66.2,Resolved,No,4.3,113,0.0183,84.9,No
CONV007188,HRQueryBot,HR Queries,Retail,Onboarding Help,2025-01-26 04:40:00,273.4,Escalated,Yes,2.4,263,0.0277,93.6,No
CONV005284,SupportBot-v4,Customer Support,Banking,Refund Request,2025-01-26 06:50:00,26.5,Resolved,No,4.5,616,0.0355,82.3,No
CONV002854,SchedulerBot,Appointment Scheduling,Logistics,Availability Check,2025-01-26 08:02:00,28.2,Resolved,No,4.3,152,0.0296,82.6,No
CONV003693,KnowledgeFinder-Lite,Internal Knowledge Search,Healthcare,Document Search,2025-01-26 08:11:00,182.7,Escalated,Yes,2.6,550,0.0341,74.3,No
CONV000987,IT-Legacy-Bot,IT Helpdesk,Retail,Network Issue,2025-01-26 09:52:00,143.2,Resolved,No,3.3,405,0.0336,88.1,No
CONV003120,OmniAssist-2,Customer Support,Telecom,Product Complaint,2025-01-26 12:15:00,97.9,Resolved,No,4.5,174,0.0222,83.2,No
CONV008057,SupportBot-v4,Customer Support,Banking,Order Issue,2025-01-26 12:42:00,210.8,Resolved,No,4.8,139,0.0306,83.9,No
CONV004323,KnowledgeFinder-X,Internal Knowledge Search,Retail,Policy Lookup,2025-01-26 12:47:00,79.1,Resolved,No,4.5,603,0.041,89.5,No
CONV002828,SalesAssist-Lite,Sales Assistance,Banking,Product Recommendation,2025-01-26 14:37:00,46.6,Resolved,No,3.3,306,0.0212,83.4,No
CONV000619,SchedulerBot,Appointment Scheduling,Manufacturing,Reschedule,2025-01-26 16:14:00,76.3,Pending,No,4.5,598,0.042,83.9,No
CONV008898,SupportBot-v3,Customer Support,Manufacturing,Delivery Delay,2025-01-26 16:36:00,202.4,Resolved,No,3.6,709,0.042,90.7,No
CONV006241,SupportBot-v4,Customer Support,EdTech,Refund Request,2025-01-26 16:52:00,143.0,Resolved,No,4.5,133,0.0137,87.8,No
CONV003583,SalesAssist-Lite,Sales Assistance,Telecom,Discount Inquiry,2025-01-26 16:54:00,118.3,Resolved,No,4.2,732,0.0428,85.8,No
CONV000825,SalesAssist-Pro,Sales Assistance,Logistics,Product Recommendation,2025-01-26 17:25:00,38.4,Resolved,No,4.2,305,0.0377,70.5,No
CONV006083,SalesAssist-Pro,Sales Assistance,Manufacturing,Discount Inquiry,2025-01-26 17:39:00,73.8,Resolved,No,5.0,249,0.0293,92.5,No
CONV007085,SupportBot-v4,Customer Support,EdTech,Delivery Delay,2025-01-26 20:27:00,43.2,Pending,No,4.9,574,0.0427,100.0,No
CONV006703,SupportBot-v4,Customer Support,E-commerce,Delivery Delay,2025-01-26 21:21:00,15.0,Resolved,No,4.7,579,0.038,92.8,No
CONV006236,OmniAssist-2,Customer Support,E-commerce,Refund Request,2025-01-26 21:43:00,37.1,Resolved,No,4.2,298,0.0308,94.5,No
CONV007528,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Compliance Query,2025-01-27 01:11:00,29.7,Resolved,No,4.3,630,0.0385,74.7,Yes
CONV000051,KnowledgeFinder-Lite,Internal Knowledge Search,E-commerce,Compliance Query,2025-01-27 02:40:00,85.8,Resolved,No,3.3,661,0.044,82.1,No
CONV009383,HRQueryBot,HR Queries,Healthcare,Benefits Query,2025-01-27 02:59:00,48.1,Resolved,No,4.3,763,0.0482,89.7,No
CONV004132,SupportBot-v3,Customer Support,EdTech,Product Complaint,2025-01-27 03:55:00,89.9,Resolved,No,4.0,231,0.0334,90.9,No
CONV005887,SalesAssist-Pro,Sales Assistance,Healthcare,Discount Inquiry,2025-01-27 04:04:00,151.2,Resolved,No,5.0,604,0.0381,77.3,No
CONV001900,SalesAssist-Pro,Sales Assistance,Manufacturing,Product Recommendation,2025-01-27 04:32:00,21.1,Resolved,No,4.0,382,0.0223,96.0,No
CONV004853,SalesAssist-Pro,Sales Assistance,Logistics,Upsell Opportunity,2025-01-27 05:59:00,105.1,Resolved,No,4.7,287,0.0266,83.9,No
CONV002435,HRQueryBot,HR Queries,Logistics,Payroll Question,2025-01-27 07:09:00,59.6,Resolved,No,3.8,196,0.0339,93.3,No
CONV004667,IT-Legacy-Bot,IT Helpdesk,E-commerce,Hardware Request,2025-01-27 07:55:00,46.4,Resolved,No,3.3,454,0.0357,76.1,No
CONV007914,SalesAssist-Pro,Sales Assistance,Retail,Pricing Question,2025-01-27 08:04:00,19.5,Resolved,No,3.9,182,0.0269,97.0,No
CONV005501,KnowledgeFinder-X,Internal Knowledge Search,Logistics,Process Question,2025-01-27 08:50:00,113.9,Resolved,No,5.0,377,0.035,77.5,No
CONV000114,SchedulerBot,Appointment Scheduling,Manufacturing,Availability Check,2025-01-27 08:55:00,267.6,Resolved,No,4.4,342,0.0322,100.0,No
CONV007312,IT-Legacy-Bot,IT Helpdesk,Banking,Software Bug,2025-01-27 09:06:00,408.0,Pending,No,3.4,699,0.0568,75.6,No
CONV007898,KnowledgeFinder-Lite,Internal Knowledge Search,EdTech,Compliance Query,2025-01-27 09:19:00,128.3,Resolved,No,3.4,325,0.0355,74.1,Yes
CONV002026,KnowledgeFinder-X,Internal Knowledge Search,Logistics,Compliance Query,2025-01-27 10:50:00,110.8,Resolved,No,4.6,1177,0.0457,89.4,No
CONV006617,SalesAssist-Pro,Sales Assistance,Healthcare,Product Recommendation,2025-01-27 10:54:00,117.4,Resolved,No,4.2,1475,0.0597,94.1,No
CONV008319,SalesAssist-Pro,Sales Assistance,Manufacturing,Lead Qualification,2025-01-27 11:34:00,140.5,Resolved,No,4.2,142,0.0309,94.5,No
CONV008522,SupportBot-v4,Customer Support,Manufacturing,Refund Request,2025-01-27 13:25:00,80.0,Escalated,Yes,4.3,265,0.0211,91.7,No
CONV004489,KnowledgeFinder-Lite,Internal Knowledge Search,Telecom,Policy Lookup,2025-01-27 13:41:00,242.0,Resolved,No,4.4,732,0.0482,85.4,No
CONV004627,HRQueryBot,HR Queries,E-commerce,Benefits Query,2025-01-27 14:38:00,70.9,Resolved,No,3.9,260,0.0279,88.6,No
CONV003717,SchedulerBot,Appointment Scheduling,EdTech,Cancellation,2025-01-27 15:31:00,27.6,Resolved,No,5.0,375,0.0271,80.0,No
CONV005783,SalesAssist-Lite,Sales Assistance,Manufacturing,Lead Qualification,2025-01-27 15:39:00,116.7,Escalated,Yes,1.2,417,0.0334,88.9,No
CONV001003,OmniAssist-2,Customer Support,Retail,General Inquiry,2025-01-27 17:11:00,32.6,Resolved,No,4.4,383,0.0294,97.3,No
CONV009050,KnowledgeFinder-X,Internal Knowledge Search,EdTech,Process Question,2025-01-27 17:54:00,63.9,Resolved,No,4.1,313,0.0367,94.3,No
CONV009559,OmniAssist-2,Customer Support,Logistics,Delivery Delay,2025-01-27 18:27:00,66.3,Pending,No,4.6,579,0.0389,93.0,No
CONV006561,KnowledgeFinder-X,Internal Knowledge Search,Banking,Compliance Query,2025-01-27 18:37:00,33.1,Resolved,No,4.6,217,0.0327,100.0,No
CONV001540,KnowledgeFinder-X,Internal Knowledge Search,E-commerce,Document Search,2025-01-27 20:15:00,125.4,Resolved,No,4.4,415,0.0367,86.9,No
CONV004546,SupportBot-v3,Customer Support,Banking,General Inquiry,2025-01-27 21:03:00,214.3,Escalated,Yes,2.2,377,0.0302,80.0,No
CONV001523,KnowledgeFinder-X,Internal Knowledge Search,Healthcare,Policy Lookup,2025-01-27 21:47:00,61.3,Resolved,No,5.0,451,0.0297,89.2,No
CONV009237,IT-Legacy-Bot,IT Helpdesk,Banking,Software Bug,2025-01-28 02:05:00,72.1,Resolved,No,3.6,1073,0.0653,78.2,No
CONV001616,ITHelpDesk-AI,IT Helpdesk,E-commerce,Network Issue,2025-01-28 02:57:00,171.7,Resolved,No,3.7,798,0.0505,87.6,No
CONV009507,OmniAssist-2,Customer Support,Manufacturing,Refund Request,2025-01-28 04:06:00,64.2,Resolved,No,4.1,172,0.0343,90.7,No
CONV008514,SupportBot-v4,Customer Support,Healthcare,Order Issue,2025-01-28 08:44:00,141.9,Resolved,No,4.4,266,0.0277,100.0,No
CONV008148,SupportBot-v4,Customer Support,Healthcare,Delivery Delay,2025-01-28 09:18:00,18.7,Resolved,No,4.5,513,0.0232,86.7,No
CONV004988,IT-Legacy-Bot,IT Helpdesk,EdTech,Software Bug,2025-01-28 10:04:00,128.3,Resolved,No,3.2,1434,0.0728,76.5,No
CONV008119,SalesAssist-Pro,Sales Assistance,Banking,Product Recommendation,2025-01-28 10:42:00,20.0,Resolved,No,4.5,169,0.0196,94.3,No
CONV002317,IT-Legacy-Bot,IT Helpdesk,Banking,Network Issue,2025-01-28 11:13:00,131.0,Escalated,Yes,2.4,483,0.045,74.5,No
CONV001007,OmniAssist-2,Customer Support,Logistics,Order Issue,2025-01-28 13:09:00,32.3,Resolved,No,4.3,486,0.0371,92.5,No
CONV008160,SupportBot-v4,Customer Support,Logistics,General Inquiry,2025-01-28 13:10:00,15.0,Resolved,No,4.2,480,0.0383,93.5,No
CONV009490,OmniAssist-2,Customer Support,Healthcare,Order Issue,2025-01-28 13:48:00,86.2,Resolved,No,4.1,517,0.0305,92.8,No
CONV007324,KnowledgeFinder-X,Internal Knowledge Search,E-commerce,Compliance Query,2025-01-28 14:08:00,139.3,Resolved,No,4.1,489,0.0412,82.6,No
CONV002967,ITHelpDesk-AI,IT Helpdesk,EdTech,Software Bug,2025-01-28 14:10:00,254.5,Resolved,No,3.6,142,0.0246,81.7,No
CONV001693,SalesAssist-Pro,Sales Assistance,EdTech,Upsell Opportunity,2025-01-28 14:17:00,21.3,Resolved,No,3.7,1028,0.0475,84.1,No
CONV002153,KnowledgeFinder-Lite,Internal Knowledge Search,Logistics,Document Search,2025-01-28 14:39:00,296.2,Resolved,No,3.4,679,0.032,90.2,No
CONV002818,SchedulerBot,Appointment Scheduling,Logistics,Availability Check,2025-01-28 14:45:00,27.8,Resolved,No,4.2,644,0.0404,88.2,No
CONV004792,SalesAssist-Pro,Sales Assistance,Logistics,Discount Inquiry,2025-01-28 14:46:00,255.1,Resolved,No,4.1,344,0.0338,79.9,No
CONV004544,IT-Legacy-Bot,IT Helpdesk,E-commerce,Access Request,2025-01-28 15:25:00,47.2,Resolved,No,2.7,212,0.0381,73.6,No
CONV009619,SchedulerBot,Appointment Scheduling,Manufacturing,Book Appointment,2025-01-28 16:54:00,105.1,Resolved,No,4.1,130,0.0313,98.0,No
CONV002776,OmniAssist-2,Customer Support,Manufacturing,Refund Request,2025-01-28 17:12:00,15.5,Resolved,No,4.7,100,0.0237,88.1,No
CONV005923,ITHelpDesk-AI,IT Helpdesk,Manufacturing,Access Request,2025-01-28 17:29:00,94.8,Resolved,No,4.1,80,0.0293,74.1,No
CONV005471,SalesAssist-Pro,Sales Assistance,EdTech,Upsell Opportunity,2025-01-28 17:52:00,15.0,Resolved,No,4.5,500,0.0285,87.0,No
CONV002311,SalesAssist-Pro,Sales Assistance,E-commerce,Lead Qualification,2025-01-28 20:40:00,72.5,Resolved,No,4.6,357,0.0393,94.2,No
CONV001325,KnowledgeFinder-Lite,Internal Knowledge Search,Healthcare,Process Question,2025-01-28 20:50:00,208.1,Resolved,No,3.5,399,0.0346,83.3,No
CONV002996,SalesAssist-Pro,Sales Assistance,Logistics,Discount Inquiry,2025-01-28 21:44:00,268.7,Resolved,No,4.5,262,0.0195,74.7,No
CONV005405,SchedulerBot,Appointment Scheduling,Manufacturing,Book Appointment,2025-01-28 22:48:00,43.0,Resolved,No,4.9,521,0.0327,86.8,No
CONV008401,HR-FAQ-Agent,HR Queries,Healthcare,Leave Balance,2025-01-29 00:13:00,140.4,Pending,No,3.9,259,0.029,91.3,No
CONV001776,HR-FAQ-Agent,HR Queries,Retail,Payroll Question,2025-01-29 00:49:00,331.2,Escalated,Yes,3.2,365,0.0374,91.0,No
CONV007784,SalesAssist-Pro,Sales Assistance,Healthcare,Discount Inquiry,2025-01-29 00:50:00,47.0,Resolved,No,5.0,527,0.0346,89.6,No
CONV004830,SupportBot-v4,Customer Support,Banking,Order Issue,2025-01-29 02:52:00,127.4,Resolved,No,5.0,366,0.0371,90.7,No
CONV000280,KnowledgeFinder-Lite,Internal Knowledge Search,Healthcare,Document Search,2025-01-29 03:33:00,135.6,Resolved,No,4.4,270,0.0229,76.2,No
CONV000641,SupportBot-v4,Customer Support,Healthcare,General Inquiry,2025-01-29 06:17:00,98.6,Resolved,No,4.8,309,0.0265,99.3,No
CONV004339,SupportBot-v3,Customer Support,E-commerce,Order Issue,2025-01-29 07:30:00,288.4,Resolved,No,3.5,902,0.0546,78.0,No
CONV000012,SalesAssist-Lite,Sales Assistance,Telecom,Lead Qualification,2025-01-29 07:52:00,195.4,Resolved,No,3.3,880,0.0383,79.2,No
CONV008760,SalesAssist-Pro,Sales Assistance,E-commerce,Discount Inquiry,2025-01-29 10:23:00,72.5,Resolved,No,4.9,243,0.0327,83.1,No
CONV000983,KnowledgeFinder-X,Internal Knowledge Search,Retail,Compliance Query,2025-01-29 10:50:00,18.3,Resolved,No,4.2,385,0.039,84.9,No
CONV006510,SalesAssist-Pro,Sales Assistance,Telecom,Pricing Question,2025-01-29 13:21:00,82.0,Pending,No,5.0,544,0.032,82.9,No
CONV008360,HRQueryBot,HR Queries,EdTech,Onboarding Help,2025-01-29 14:03:00,78.1,Resolved,No,4.4,80,0.017,82.5,No
CONV008471,SalesAssist-Pro,Sales Assistance,Healthcare,Upsell Opportunity,2025-01-29 14:25:00,78.7,Resolved,No,4.8,594,0.0281,90.7,No
CONV007740,SalesAssist-Pro,Sales Assistance,Retail,Discount Inquiry,2025-01-29 14:32:00,152.0,Resolved,No,4.2,365,0.0266,83.1,No
CONV006458,OmniAssist-2,Customer Support,Banking,Product Complaint,2025-01-29 14:32:00,78.4,Resolved,No,4.1,991,0.0401,86.4,No
CONV003086,SupportBot-v4,Customer Support,E-commerce,Product Complaint,2025-01-29 14:36:00,199.2,Resolved,No,4.0,286,0.0243,88.0,No
CONV002635,KnowledgeFinder-Lite,Internal Knowledge Search,Telecom,Policy Lookup,2025-01-29 16:56:00,58.1,Resolved,No,3.2,283,0.0349,84.9,Yes
CONV008765,SalesAssist-Pro,Sales Assistance,Retail,Lead Qualification,2025-01-29 22:51:00,15.0,Resolved,No,4.5,217,0.0308,84.0,No
CONV001177,KnowledgeFinder-Lite,Internal Knowledge Search,Manufacturing,Process Question,2025-01-29 23:04:00,117.5,Escalated,Yes,2.7,899,0.0541,84.8,No
CONV001574,OmniAssist-2,Customer Support,Telecom,Refund Request,2025-01-29 23:08:00,197.0,Resolved,No,3.5,80,0.0197,83.3,No
CONV005933,OmniAssist-2,Customer Support,Healthcare,Delivery Delay,2025-01-29 23:43:00,140.6,Resolved,No,4.6,445,0.0336,89.6,No
CONV000265,OmniAssist-2,Customer Support,EdTech,Delivery Delay,2025-01-30 02:42:00,28.0,Resolved,No,3.6,373,0.0337,89.6,No
CONV001795,HR-FAQ-Agent,HR Queries,EdTech,Benefits Query,2025-01-30 03:35:00,161.5,Resolved,No,4.3,223,0.0192,76.3,No
CONV009084,OmniAssist-2,Customer Support,Banking,Order Issue,2025-01-30 03:52:00,105.9,Resolved,No,5.0,270,0.022,98.8,No
CONV004757,SalesAssist-Pro,Sales Assistance,Healthcare,Product Recommendation,2025-01-30 04:23:00,129.5,Resolved,No,4.7,547,0.0335,94.9,No
CONV003590,ITHelpDesk-AI,IT Helpdesk,Manufacturing,Password Reset,2025-01-30 05:21:00,103.7,Resolved,No,3.0,873,0.049,78.4,No
CONV006080,HRQueryBot,HR Queries,Manufacturing,Benefits Query,2025-01-30 06:16:00,166.6,Resolved,No,3.8,353,0.0262,81.2,No
CONV008250,SalesAssist-Pro,Sales Assistance,E-commerce,Lead Qualification,2025-01-30 06:27:00,142.0,Resolved,No,4.5,777,0.0394,97.2,No
CONV005084,SalesAssist-Pro,Sales Assistance,Healthcare,Lead Qualification,2025-01-30 06:52:00,90.7,Resolved,No,4.2,275,0.0323,89.0,No
CONV007132,SchedulerBot,Appointment Scheduling,Banking,Availability Check,2025-01-30 07:26:00,16.8,Escalated,Yes,4.1,929,0.0499,77.3,No
CONV004986,SupportBot-v4,Customer Support,Logistics,Order Issue,2025-01-30 09:14:00,99.7,Resolved,No,4.8,392,0.0387,96.8,No
CONV005378,SalesAssist-Pro,Sales Assistance,Telecom,Discount Inquiry,2025-01-30 11:32:00,40.5,Resolved,No,4.5,355,0.0235,90.8,No
CONV007015,SupportBot-v3,Customer Support,Logistics,General Inquiry,2025-01-30 11:54:00,80.3,Resolved,No,3.1,751,0.0562,92.7,No
CONV007310,KnowledgeFinder-Lite,Internal Knowledge Search,Healthcare,Compliance Query,2025-01-30 12:41:00,115.5,Pending,No,4.0,251,0.0341,85.1,No
